Text,Entities
"This research was funded by a grant provided by Tarbiat Modares University [TMU; Ph.D. thesis (9540522001)] and Iran National Science Foundation (INSF; No. 97024680), Tehran, Iran.","[(48,74,'institution'),(95,105,'award-id'),(112,144,'institution'),(156,164,'award-id')]"
"This study was conducted under Florida Fish and Wildlife Commission permit number SAL-16-1799C-SR. This study was made possible through funding from the PADI Foundation (Grant #21843), Smithsonian Museum of Natural History (Smithsonian Marine Station McConnell Fellowship), American Museum of Natural History Lerner Gray Grants, Florida Sea Grant Scholars Program, Florida State University Biological Science Department and the Graduate School at Florida State University. Support for this study also came in part from the National Science Foundation (DEB 1456425) given to TEM and OUM. This study would not have been possible without help of the Smithsonian Marine Station staff and the Langley family. The authors declare no conflict of interest.","[(82,97,'award-id'),(153,168,'institution'),(177,182,'award-id'),(523,550,'institution'),(552,563,'award-id')]"
"This work was supported by the National Science Foundation [GRFP to S.S.F], the University of Pittsburgh [start-up funds to K.D.K] and Elmhurst University [Faculty Research Grant to P.M.M].","[(31,58,'institution'),(80,104,'institution')]"
"The work was funded by the Research Council of Norway [Grant numbers 255307 and 240859]. Thanks are due to Helge Meissner and Jan Světlik for assistance in the field, Monica Fongen, Jan-Erik Jacobsen, and Helge Meissner for soil sample pre-treatment and chemical analyses, and Stephanie Eisner for calculating metrological data. We acknowledge Tobias Guldberg Frøslev for providing us varying size (7-9 bp) Multiplex Identification DNA-tags sequences and Line Nybakken for ergosterol analysis.","[(27,53,'institution'),(69,75,'award-id'),(80,86,'award-id')]"
"This work was supported by Instituto Nacional de Investigación Agropecuaria, Uruguay (Project INIA SA35—Effect of agricultural management on soil microbiome—implication for plant growth and health), and by Julius Kuhn Institute, Germany. The work of Doreen Babin was supported by the German Federal Ministry of Education and Research (BMBF, Germany) in the framework of the project DiControl (http://dicontrol.igzev.de/de/; grant number 031B0514C) as part of the BonaRes initiative “Soil as a sustainable resource for the bioeconomy” (https://www.bonares.de/).","[(291,333,'institution')]"
"This work was supported by the Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro (FAPERJ) grant no. E-26/203.003/2017, the Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) grant no. 314263/2018-7 and the Biotechnology and Biosciences Research Council (BBSRC) - Newton Fund for Virtual Joint Center with Brazil in Agricultural Nitrogen. This work is part of the Ph.D. thesis from LFS that acknowledges Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES) for the fellowship.","[(110,116,'institution'),(128,145,'award-id'),(214,218,'institution'),(230,243,'award-id'),(252,298,'institution'),(309,320,'institution'),(427,430,'institution'),(510,515,'institution')]"
"This work was supported by the grants PUNQ EXPTE 1411/15 and 1306/19 recieved from the National University of Quilmes (UNQ) and the project PICT 2803/17 of the Argentinean National Agency for Scientific and Technological Promotion (ANPCYT). LAG, EF, LE and LGW are members of the Argentinean National Council for Scientific and Technical Research (CONICET). The collaborations of KS, DB (JKI) and LE, FMI and EF were supported by the German Federal Ministry of Education and Research (BMBF, Germany) within the framework of the project DiControl (http://dicontrol.igzev.de/de/; grant number 031A560A-F) as part of the BonaRes funding initiative ‘Soil as a sustainable resource for the bioeconomy’ (https://www.bonares.de/).","[(232,238,'institution'),(87,117,'institution'),(49,56,'award-id'),(61,68,'award-id'),(145,152,'award-id'),(348,355,'institution'),(441,483,'institution'),(485,489,'institution'),(591,601,'award-id')]"
This study was supported by the Portuguese Foundation for Science and Technology (FCT) under the scope of the project INNOVCONTROLFIL [PTDC/AAG-TEC/3331/2014] and the strategic funding unit [UIDB/04469/2020] and BioTecNorte operation [NORTE-01-0145-FEDER-000004] funded by the European Regional Development Fund under the scope of Norte2020–Programa Operacional Regional do Norte.,"[(82,85,'institution'),(135,157,'award-id'),(191,206,'award-id')]"
"This work was supported by the São Paulo Research Foundation (FAPESP #2016/25358-3; #2018/08650-8; #2019/18335-5), the National Council for Scientific and Technological Development (CNPq #300896/2016-6), the University of Alabama, and by the Coordination for the Improvement of Higher Education Personnel (CAPES—Finance Code 001).","[(69,82,'award-id'),(84,97,'award-id'),(99,112,'award-id'),(119,180,'institution'),(187,201,'award-id'),(242,304,'institution'),(325,328,'award-id')]"
"This work was supported by the BonaRes initiative of the German Federal Ministry of Education and Research (BMBF, Bundes ministerium für Bildung und Forschung) (FZK 031B0025G, FZK 031B0025A and FZK 031B0025B). Samuel Jacquiod was supported by the Université de Bourgogne Franche-Comté via the ISITE-BFC International Junior Fellowship award (AAP3: RA19028.AEC.IS). The work of Annmarie-Deetja Rohr was part of the Research Training Group GRK1798 ‘Signaling at the Plant–Soil Interface’ funded by the German Research Foundation (DFG, Deutsche Forschungsgemeinschaft).","[(64,106,'institution'),(161,174,'award-id'),(176,189,'award-id'),(194,207,'award-id'),(500,526,'institution'),(533,564,'institution')]"
